Product,ActivityType,TotalSpend,Activities
Zoltar 40,PRF,8207185.79,197
UFI,PRF,8147559.2,101
Aireez 5/10,PRF,7963528.17,68
NU-ORS,PRF,7834367.0,49
Srilanka,PRF,7643451.0,146
MOMIST,Doctor Activity,7400332.0,36
Klevra Sol,PRF,7059602.8,77
Esmart,PRF,6984775.0,125
Guatemala,PRF,6938069.83,16
Aireez,Doctor Activity,6891591.0,54
Kalsob,Doctor Activity,6849119.0,132
ANPLAG,Doctor Activity,6788368.0,46
Ivory Coast,PRF,6685757.83,19
Kenya,PRF,6659788.83,34
MOBILE BGM,PRF,6633838.9,43
Evocheck Weigh Scale,PRF,6431515.75,47
Bevec,PRF,6230527.73,66
Evokalm,Doctor Activity,6154979.0,55
INOSITA PLUS XR,Doctor Activity,5900113.0,92
BEMPION EZ,PRF,5889641.96,38
Dapwiz Plus XR,Doctor Activity,5729101.0,80
K1000 Plus Sachet,PRF,5633323.83,105
Busonide,Doctor Activity,5435834.0,27
Iraq,PRF,5361649.64,20
Thunderbolt,PRF,5091046.0,3
CLORES,Doctor Activity,4945719.0,42
Xilica,Doctor Activity,4931369.0,80
Vible,Doctor Activity,4717047.0,69
OMRON HEALTH CARE,PRF,4656940.5,19
Erlina,Doctor Activity,4519850.0,71
Nigeria,PRF,4448500.87,13
IPRAZYME,Doctor Activity,4321346.0,42
MOMIST,PRF,4251702.6,34
Xcept,Doctor Activity,4181267.0,55
Spedicam,PRF,4121505.57,101
Histalis,Doctor Activity,3955549.0,24
Erli Plus,Doctor Activity,3859192.0,101
Neo-Q 50,PRF,3793929.0,47
EVOCHECK (TEAM),PRF,3589050.0,16
Adfolic,Doctor Activity,3571935.0,66
Afghanistan,PRF,3509937.8,88
ERLI,Doctor Activity,3375751.0,55
Dapwiz,Doctor Activity,3339886.0,41
Adfolic DHA,PRF,3168607.0,17
ECOMMERCE,PRF,3104228.0,34
Ferfer,Doctor Activity,2894364.0,67
CLORES,PRF,2886575.4,18
Tenova,PRF,2856905.0,6
FEMOVA,Doctor Activity,2845569.0,48
Lowplat Plus,Doctor Activity,2841988.0,48
Gouric,Doctor Activity,2703657.0,62
Paridopa Ext,PRF,2657325.0,38
Nuval,PRF,2429114.0,36
IPRAZYME,PRF,2288029.0,24
Estar 5,Doctor Activity,2183753.0,40
Thewril,Doctor Activity,2162834.0,52
Duzalta,Doctor Activity,2110038.0,37
AVIATORS,PRF,1986200.0,1
SACVIN,Doctor Activity,1825555.0,23
Erlina Plus XR,Doctor Activity,1704475.0,31
MilkSip,PRF,1687320.0,3
Revolic,Doctor Activity,1670353.0,11
Myanmar,PRF,1583122.0,23
"OPT-D 100,000",PRF,1553956.25,15
Fluticasone,PRF,1528077.43,13
Klevra,Doctor Activity,1526698.0,25
Xplended EZ,Doctor Activity,1445204.0,11
SheVit,Doctor Activity,1441572.0,36
K1000,Doctor Activity,1360752.0,34
EvoPravir,PRF,1345023.0,19
Tiocap,Doctor Activity,1324066.0,12
Galvecta Plus 500,Doctor Activity,1308281.0,32
OPT-D Drops,PRF,1236974.0,29
Africa,PRF,1045275.0,12
Retzole,Doctor Activity,1034730.0,30
Orslim,Doctor Activity,956267.0,20
Forsonide,PRF,912958.0,15
Zilfom,Doctor Activity,876513.0,8
VANZAK,Doctor Activity,856268.0,5
Galvecta Plus 1000,PRF,852865.0,9
Securin,PRF,839049.5,13
K1000 Plus Sachet,Doctor Activity,828221.0,18
Semaglutide,PRF,792350.0,6
Evocheck LinX CGM,Doctor Activity,775647.0,11
Evopride Plus,Doctor Activity,763395.0,15
Sovelpa,PRF,762598.83,21
Evofix Cap,Doctor Activity,741602.0,22
Evopride,Doctor Activity,697286.0,12
PAZOMEZ,Doctor Activity,680040.0,11
Adfolic OD,Doctor Activity,672891.0,6
Inosita,Doctor Activity,654777.0,10
Cambodia,PRF,618750.0,11
Eglaro Family,Doctor Activity,571617.0,12
Dipof,Doctor Activity,565287.0,10
Uzbekistan,PRF,550750.0,4
Tajikistan,PRF,550000.0,3
SPARLIV,Doctor Activity,547417.0,12
Marketing,PRF,529142.0,5
Voxamine,Doctor Activity,522870.0,8
Ferfer SF,PRF,513580.0,6
Celia (Un-Claimable),PRF,461350.0,7
Lowplat,Doctor Activity,448606.0,2
Onita,Doctor Activity,429071.0,7
AGOVIZ,Doctor Activity,412347.0,6
Telsarta-A,Doctor Activity,375358.0,11
BEMPION EZ,Doctor Activity,323530.0,3
Telsarta,Doctor Activity,294249.0,9
PARIDOPA,Doctor Activity,249915.0,6
LINX CGM - Trade,PRF,197723.98,3
Treatan,Doctor Activity,195135.0,5
Maldives,PRF,187500.0,1
ZILERO,Doctor Activity,183671.0,3
Fasteso,Doctor Activity,182527.0,4
FinnoQ,Doctor Activity,178805.0,5
Uritreat,Doctor Activity,176471.0,1
Lacteus Digest,PRF,162623.0,3
Kalsob Plus,PRF,162500.0,1
DAKVIR,PRF,150000.0,2
Ibandro,PRF,143046.2,5
ForFlu,PRF,125000.0,1
Estar 20,PRF,124000.0,2
Erlina Plus XR M,Doctor Activity,88235.0,1
Klevra Sol,Doctor Activity,82352.0,2
Philippine,PRF,82000.0,3
Memura XR,PRF,80300.0,1
Tansin Family,Doctor Activity,79496.0,5
Owad,PRF,75000.0,1
Treow,PRF,75000.0,3
Rituxim,Doctor Activity,73529.0,1
THEDEX,PRF,71370.0,3
Algesia,PRF,71134.0,1
Rixabac,PRF,69000.0,1
Zibes,Doctor Activity,58824.0,1
Inosita Plus 50/850,Doctor Activity,39894.0,1
kazakhstan,PRF,32895.0,1
Ipramide Plus,PRF,30000.0,1
OPT-D INJ,Doctor Activity,29400.0,1
Vietnam,PRF,29300.0,1
BD (UN-CLAIMABLE),PRF,27000.0,2
Arbi A,Doctor Activity,23529.0,1
Ramipace,Doctor Activity,17647.0,1
Erli Plus XR,Doctor Activity,11250.0,1
Xevacta,PRF,0.0,1
