Product,TotalSpend,Activities,AvgCost
Tiocap,9942605.3,79,125855.763291
Anex M,9061274.8,92,98492.117391
Uritreat,8933692.39,125,71469.53912
Erli Plus XR TF,8903728.8,169,52684.785798
CELIA (Claimable),8528753.76,107,79707.979065
PAIN GEAR,8459150.25,72,117488.197916
Zoltar 40,8207185.79,197,41660.841573
UFI,8147559.2,101,80668.90297
Aireez 5/10,7963528.17,68,117110.708382
NU-ORS,7834367.0,49,159885.040816
CLORES,7832294.4,60,130538.24
Srilanka,7643451.0,146,52352.404109
Klevra Sol,7141954.8,79,90404.491139
Esmart,6984775.0,125,55878.2
Guatemala,6938069.83,16,433629.364375
Ivory Coast,6685757.83,19,351881.991052
Kenya,6659788.83,34,195876.142058
MOBILE BGM,6633838.9,43,154275.323255
IPRAZYME,6609375.0,66,100142.045454
K1000 Plus Sachet,6461544.83,123,52532.884796
Evocheck Weigh Scale,6431515.75,47,136840.760638
Bevec,6230527.73,66,94401.935303
BEMPION EZ,6213171.96,41,151540.779512
Iraq,5361649.64,20,268082.482
Thunderbolt,5091046.0,3,1697015.333333
OMRON HEALTH CARE,4656940.5,19,245102.131578
Nigeria,4448500.87,13,342192.374615
Spedicam,4121505.57,101,40806.985841
Neo-Q 50,3793929.0,47,80721.893617
EVOCHECK (TEAM),3589050.0,16,224315.625
Afghanistan,3509937.8,88,39885.656818
Adfolic DHA,3168607.0,17,186388.647058
ECOMMERCE,3104228.0,34,91300.823529
Tenova,2856905.0,6,476150.833333
Paridopa Ext,2657325.0,38,69929.605263
Nuval,2429114.0,36,67475.388888
AVIATORS,1986200.0,1,1986200.0
MilkSip,1687320.0,3,562440.0
Myanmar,1583122.0,23,68831.391304
"OPT-D 100,000",1553956.25,15,103597.083333
Fluticasone,1528077.43,13,117544.417692
EvoPravir,1345023.0,19,70790.68421
OPT-D Drops,1236974.0,29,42654.275862
Africa,1045275.0,12,87106.25
Forsonide,912958.0,15,60863.866666
Galvecta Plus 1000,852865.0,9,94762.777777
Securin,839049.5,13,64542.26923
Semaglutide,792350.0,6,132058.333333
Sovelpa,762598.83,21,36314.23
Cambodia,618750.0,11,56250.0
Uzbekistan,550750.0,4,137687.5
Tajikistan,550000.0,3,183333.333333
Marketing,529142.0,5,105828.4
Ferfer SF,513580.0,6,85596.666666
Celia (Un-Claimable),461350.0,7,65907.142857
LINX CGM - Trade,197723.98,3,65907.993333
Maldives,187500.0,1,187500.0
Lacteus Digest,162623.0,3,54207.666666
Kalsob Plus,162500.0,1,162500.0
DAKVIR,150000.0,2,75000.0
Ibandro,143046.2,5,28609.24
ForFlu,125000.0,1,125000.0
Estar 20,124000.0,2,62000.0
Philippine,82000.0,3,27333.333333
Memura XR,80300.0,1,80300.0
Treow,75000.0,3,25000.0
Owad,75000.0,1,75000.0
THEDEX,71370.0,3,23790.0
Algesia,71134.0,1,71134.0
Rixabac,69000.0,1,69000.0
kazakhstan,32895.0,1,32895.0
Ipramide Plus,30000.0,1,30000.0
Vietnam,29300.0,1,29300.0
BD (UN-CLAIMABLE),27000.0,2,13500.0
Xevacta,0.0,1,0.0
